date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2016-09-29	2992.17	3009.2	2998.48	2991.91	1132139.25	10.62	0.35	2999.768	3011.892	3040.505	1218924.68	1236055.64	1417933.61
2016-09-28	3000.7	3000.7	2987.86	2984.32	1046257.0	-10.31	-0.34	3008.534	3014.395	3044.315	1271115.93	1258229.29	1431544.06
2016-09-27	2974.59	2998.23	2998.17	2969.13	1217014.5	17.74	0.59	3016.136	3017.807	3048.423	1293306.95	1359615.68	1451481.21
2016-09-26	3028.24	3028.24	2980.43	2980.12	1443302.88	-53.47	-1.76	3021.102	3025.875	3052.03	1287752.27	1398607.15	1465462.44
2016-09-23	3044.79	3046.8	3033.9	3032.8	1255909.75	-8.41	-0.28	3030.226	3037.427	3056.425	1237541.75	1400160.64	1480313.78
2016-09-22	3038.42	3054.44	3042.31	3035.07	1393095.5	16.44	0.54	3024.016	3043.23	3059.024	1253186.6	1461526.42	1490372.01
2016-09-21	3021.58	3032.45	3025.87	3017.54	1157212.12	2.87	0.1	3020.256	3048.07	3061.394	1245342.65	1495125.4	1501401.72
2016-09-20	3027.17	3027.82	3023.0	3015.88	1189241.12	-3.05	-0.1	3019.478	3052.693	3064.341	1425924.4	1524367.5	1536235.07
2016-09-19	3005.32	3026.65	3026.05	3005.32	1192250.25	23.2	0.77	3030.648	3057.128	3068.596	1509462.03	1555890.31	1573946.74
2016-09-14	3008.9	3017.94	3002.85	2995.42	1334134.0	-20.66	-0.68	3044.628	3060.854	3072.499	1562779.53	1591856.38	1629013.77
2016-09-13	3025.03	3029.72	3023.51	3008.74	1353875.75	1.53	0.05	3062.444	3069.118	3077.835	1669866.25	1599811.59	1669226.88
2016-09-12	3037.51	3040.95	3021.98	2999.93	2060120.88	-56.87	-1.85	3075.884	3074.235	3082.161	1744908.15	1604858.82	1740697.56
2016-09-09	3095.43	3101.79	3078.85	3078.22	1606929.25	-17.1	-0.55	3085.908	3079.04	3087.322	1622810.6	1543346.75	1786499.76
2016-09-08	3089.95	3096.78	3095.95	3083.9	1458837.75	4.02	0.13	3083.608	3078.186	3085.913	1602318.6	1532317.72	1790240.13
2016-09-07	3091.33	3105.68	3091.93	3087.88	1869567.62	1.22	0.04	3077.08	3075.424	3081.247	1620933.22	1560466.92	1798237.98
2016-09-06	3071.06	3095.51	3090.71	3053.19	1729085.25	18.61	0.61	3075.792	3074.819	3077.589	1529756.92	1519217.6	1787097.18
2016-09-05	3070.71	3085.49	3072.1	3065.33	1449633.12	4.75	0.15	3072.586	3074.719	3074.337	1464809.5	1507678.04	1785640.64
2016-09-02	3057.49	3072.53	3067.35	3050.49	1504469.25	4.04	0.13	3072.172	3075.99	3070.946	1463882.9	1548102.65	1791023.91
2016-09-01	3083.96	3088.7	3063.31	3062.88	1551910.88	-22.18	-0.72	3072.764	3080.065	3066.413	1462316.85	1592003.17	1786728.99
2016-08-31	3072.92	3087.7	3085.49	3063.4	1413686.12	10.81	0.35	3073.768	3084.145	3062.37	1500000.62	1666171.16	1776100.1
2016-08-30	3071.44	3082.99	3074.68	3065.97	1404348.12	4.65	0.15	3073.846	3086.551	3057.018	1508678.27	1738642.17	1775986.46
2016-08-29	3068.46	3074.94	3070.03	3058.79	1445000.12	-0.28	-0.01	3076.852	3090.087	3051.848	1550546.57	1876536.29	1763503.51
2016-08-26	3069.85	3087.65	3070.31	3063.89	1496639.0	1.98	0.07	3079.808	3095.604	3046.016	1632322.4	2029652.78	1764957.38
2016-08-25	3073.44	3073.44	3068.33	3041.51	1740329.75	-17.55	-0.57	3087.366	3093.64	3041.467	1721689.5	2048162.54	1765176.2
